NutNet_Litter_Bag_No,String,Init_Litter_Mass_g,Site_Text,Trt,Date_Sent,Date_Deployed,Collection_Date,Lab_Arrival_Date,Days_Since_Deployment,Fin_Litter_Mass_g,Prop_Init_Mass,Notes,Carbon_Perc,Nitrogen_perc,Carbon_Rerun_Perc,Nitrogen_Rerun_Perc,Carbon_Used_Perc,Nitrogen_Used_Perc,Init_Crucible_Mass_g,Crucible_Plus_Sample_g,Ashed_Crucible_Sample_g,Initial_Ashed_Sample_Mass_g,Ash_Mass_g,Perc_AFDM,Perc_C_pred_from_AFDM,Init_C_Mass_g,Plot,Fin_C_Mass_g,Prop_Init_C_Mass,Yrs_Since_Deployment,Harvest_No,Init_N_Mass_g,Fin_N_Mass_g,Prop_Init_N_Mass,
1086,13,9.998,Cedar Creek LTER ,PK,11/10/09,3/18/10,5/13/15,5/13/15,1882,3.785,0.3786,,48.51,2.704,,,48.51,2.704,17.685,18.058,17.719,0.373,0.034,90.8847185,46.36941041,4.83583264,15,1.8361035,0.379687147,5.156,5,0.09268146,0.1023464,1.104281266,
1093,14,9.995,Cedar Creek LTER ,NP,11/10/09,3/18/10,8/20/15,8/20/15,1981,2.594,0.2595,,40.186,2.289,,,40.186,2.289,17.25,17.669,17.359,0.419,0.109,73.98568019,37.88707839,4.8343816,16,1.04242484,0.215627339,5.427,5,0.09265365,0.05937666,0.640845342,
1094,14,9.997,Cedar Creek LTER ,NP,11/10/09,3/18/10,5/13/15,5/13/15,1882,0.943,0.0943,,34.412,2.067,,,34.412,2.067,,,,0,0,#DIV/0!,#DIV/0!,4.83534896,16,0.32450516,0.067111012,5.156,5,0.09267219,0.01949181,0.210330737,
1099,15,10.003,Cedar Creek LTER ,NPK,11/10/09,3/18/10,8/20/15,8/20/15,1981,3.823,0.3822,,18.079,1.311,17.282,1.203,18.079,1.311,17.14,17.718,17.452,0.578,0.312,46.02076125,23.85031943,4.83825104,18,0.69116017,0.142853309,5.427,5,0.09272781,0.05011953,0.540501604,
1100,15,10.006,Cedar Creek LTER ,NPK,11/10/09,3/18/10,5/13/15,5/13/15,1882,1.837,0.1836,Small hole in litterbag,41.469,2.838,,,41.469,2.838,17.23,17.524,17.283,0.294,0.053,81.97278912,41.89614142,4.83970208,18,0.76178553,0.157403393,5.156,5,0.09275562,0.05213406,0.562058234,
1113,17,10.005,Cedar Creek LTER ,Fence,11/10/09,3/18/10,5/13/15,5/13/15,1882,3.481,0.3479,Small holes in litterbag,15.3,1.173,17.443,1.233,16.372,1.203,17,17.821,17.556,0.821,0.556,32.27771011,16.95210898,4.8392184,21,0.569891915,0.117765281,5.156,5,0.09274635,0.04187643,0.451515666,
1114,17,9.992,Cedar Creek LTER ,Fence,11/10/09,3/18/10,8/20/15,8/20/15,1981,1.741,0.1742,,17.834,1.064,,,17.834,1.064,17.105,17.637,17.452,0.532,0.347,34.77443609,18.20531987,4.83293056,21,0.31048994,0.064244652,5.427,5,0.09262584,0.01852424,0.199989981,
1121,18,10.007,Cedar Creek LTER ,K,11/10/09,3/18/10,8/20/15,8/20/15,1981,4.037,0.4034,,42.24,2.526,,,42.24,2.526,17.227,17.626,17.292,0.399,0.065,83.70927318,42.76775519,4.84018576,22,1.7052288,0.352306478,5.427,5,0.09276489,0.10197462,1.099280342,
1122,18,10.006,Cedar Creek LTER ,K,11/10/09,3/18/10,5/13/15,5/13/15,1882,0.801,0.0801,,44.085,3.035,,,44.085,3.035,,,,0,0,#DIV/0!,#DIV/0!,4.83970208,22,0.35312085,0.072963344,5.156,5,0.09275562,0.02431035,0.262090319,
1144,21,10.003,Cedar Creek LTER ,NK,11/10/09,3/18/10,5/13/15,5/13/15,1882,1.945,0.1944,,7.591,0.618,13.049,0.822,10.32,0.72,17.299,17.791,17.717,0.492,0.418,15.04065041,8.300109934,4.83825104,37,0.200724,0.041486892,5.156,5,0.09272781,0.014004,0.151022654,
1145,21,10.007,Cedar Creek LTER ,NK,11/10/09,3/18/10,8/20/15,8/20/15,1981,4.364,0.4361,,36.322,1.871,,,36.322,1.871,17.204,17.61,17.3,0.406,0.096,76.3546798,39.07617808,4.84018576,37,1.58509208,0.327485795,5.427,5,0.09276489,0.08165044,0.88018689,
1149,22,10.002,Cedar Creek LTER ,K,11/10/09,3/18/10,8/20/15,8/20/15,1981,3.86,0.3859,,32.808,1.336,,,32.808,1.336,17.445,17.859,17.536,0.414,0.091,78.01932367,39.91173226,4.83776736,38,1.2663888,0.261771331,5.427,5,0.09271854,0.0515696,0.556195126,
1150,22,10.008,Cedar Creek LTER ,K,11/10/09,3/18/10,5/13/15,5/13/15,1882,2.913,0.2911,,44.929,1.814,,,44.929,1.814,17.081,17.435,17.127,0.354,0.046,87.00564972,44.42234403,4.84066944,38,1.30878177,0.27037206,5.156,5,0.09277416,0.05284182,0.569574761,
1159,23,9.993,Cedar Creek LTER ,Control,11/10/09,3/18/10,5/13/15,5/13/15,1882,4.187,0.419,,47.363,2.036,,,47.363,2.036,17.226,17.55,17.262,0.324,0.036,88.88888889,45.3676203,4.83341424,39,1.98308881,0.410287369,5.156,5,0.09263511,0.08524732,0.920248489,
1160,23,9.997,Cedar Creek LTER ,Control,11/10/09,3/18/10,8/20/15,8/20/15,1981,5.376,0.5378,,45.204,1.855,,,45.204,1.855,17.152,17.511,17.195,0.359,0.043,88.02228412,44.93263523,4.83534896,39,2.43016704,0.50258359,5.427,5,0.09267219,0.0997248,1.076102766,
1162,24,10.003,Cedar Creek LTER ,NP,11/10/09,3/18/10,5/13/15,5/13/15,1882,0,0,3cm hole in litter bag. Completely disintegrated. No litter.,,,,,,,,,,0,0,#DIV/0!,#DIV/0!,4.83825104,40,0,0,5.156,5,0.09272781,0,0,
1170,25,10.005,Cedar Creek LTER ,NPK+Fence,11/10/09,3/18/10,8/20/15,8/20/15,1981,1.829,0.1828,,44.495,3.21,,,44.495,3.21,17.31,17.736,17.412,0.426,0.102,76.05633803,38.92642791,4.8392184,41,0.81381355,0.168170453,5.427,5,0.09274635,0.0587109,0.633026529,
1171,25,9.992,Cedar Creek LTER ,NPK+Fence,11/10/09,3/18/10,5/13/15,5/13/15,1882,0.297,0.0297,3 cm hole in middle,36.53,3.441,,,36.53,3.441,,,,0,0,#DIV/0!,#DIV/0!,4.83293056,41,0.1084941,0.022448926,5.156,5,0.09262584,0.01021977,0.110333898,
1177,26,9.999,Cedar Creek LTER ,PK,11/10/09,3/18/10,8/20/15,8/20/15,1981,2.879,0.2879,,41.437,3.05,,,41.437,3.05,17.346,17.787,17.446,0.441,0.1,77.32426304,39.56285234,4.83631632,42,1.19297123,0.246669397,5.427,5,0.09269073,0.0878095,0.947338531,
1178,26,10.007,Cedar Creek LTER ,PK,11/10/09,3/18/10,5/13/15,5/13/15,1882,0.942,0.0941,,43.657,3.646,,,43.657,3.646,,,,0,0,#DIV/0!,#DIV/0!,4.84018576,42,0.41124894,0.084965528,5.156,5,0.09276489,0.03434532,0.370240508,
1184,27,10.009,Cedar Creek LTER ,N,11/10/09,3/18/10,8/20/15,8/20/15,1981,3.757,0.3754,,47.46,3.666,,,47.46,3.666,17.703,18.078,17.737,0.375,0.034,90.93333333,46.39381222,4.84115312,44,1.7830722,0.368315597,5.427,5,0.09278343,0.13773162,1.484441996,
1185,27,10.003,Cedar Creek LTER ,N,11/10/09,3/18/10,5/13/15,5/13/15,1882,1.56,0.156,,6.089,0.536,39.926,3.131,39.926,3.131,17.735,18.046,17.809,0.311,0.074,76.20578778,39.00144297,4.83825104,44,0.6228456,0.128733626,5.156,5,0.09272781,0.0488436,0.526741654,
1190,28,9.998,Cedar Creek LTER ,NPK,11/10/09,3/18/10,5/13/15,5/13/15,1882,5.185,0.5186,,43.515,3.653,,,43.515,3.653,17.615,18.042,17.986,0.427,0.371,13.1147541,7.333422267,4.83583264,45,2.25625275,0.466569652,5.156,5,0.09268146,0.18940805,2.043645514,
1192,28,10.002,Cedar Creek LTER ,NPK,11/10/09,3/18/10,8/20/15,8/20/15,1981,0.657,0.0657,,17.877,1.25,27.512,1.882,22.695,1.566,17.553,18.069,17.861,0.516,0.308,40.31007752,20.98388914,4.83776736,45,0.149102865,0.030820594,5.427,5,0.09271854,0.01028862,0.110966156,
1197,29,9.996,Cedar Creek LTER ,Fence,11/10/09,3/18/10,5/13/15,5/13/15,1882,2.052,0.2053,,24.125,1.894,,,24.125,1.894,17.182,17.495,17.255,0.313,0.073,76.67731629,39.23812279,4.83486528,46,0.495045,0.10239065,5.156,5,0.09266292,0.03886488,0.419422138,
1200,29,10.001,Cedar Creek LTER ,Fence,11/10/09,3/18/10,8/20/15,8/20/15,1981,3.923,0.3923,,38.87,2.788,,,38.87,2.788,17.242,17.689,17.405,0.447,0.163,63.53467562,32.64128339,4.83728368,46,1.5248701,0.315232722,5.427,5,0.09270927,0.10937324,1.179744377,
1204,30,10.005,Cedar Creek LTER ,P,11/10/09,3/18/10,5/13/15,5/13/15,1882,1.678,0.1677,,25.379,1.858,,,25.379,1.858,17.187,17.7,17.217,0.513,0.03,94.15204678,48.00941872,4.8392184,47,0.42585962,0.088001736,5.156,5,0.09274635,0.03117724,0.336155978,
1001,1,10.004,Cedar Creek LTER ,NPK+Fence,11/10/09,3/18/10,8/27/16,8/27/16,2354,4.373,0.4371,,34.977,1.613,,,34.977,1.613,17.146,17.439,17.221,0.293,0.075,74.40273038,38.09641327,4.83873472,1,1.52954421,0.316104167,6.449,6,0.09273708,0.07053649,0.760607192,
1012,2,10,Cedar Creek LTER ,NP,11/10/09,3/18/10,8/27/16,8/27/16,2354,3.124,0.3124,,34.585,1.606,,,34.585,1.606,17.284,17.585,17.347,0.301,0.063,79.06976744,40.43899379,4.8368,2,1.0804354,0.223378143,6.449,6,0.0927,0.05017144,0.541223732,
1015,3,10,Cedar Creek LTER ,NPK,11/10/09,3/18/10,8/27/16,8/27/16,2354,2.316,0.2316,Several small holes in litter bag,32.761,1.628,,,32.761,1.628,17.357,17.646,17.469,0.289,0.112,61.24567474,31.4923384,4.8368,3,0.75874476,0.156869161,6.449,6,0.0927,0.03770448,0.40673657,
1022,4,10,Cedar Creek LTER ,K,11/10/09,3/18/10,8/27/16,8/27/16,2354,1.075,0.1075,,38.737,1.677,,,38.737,1.677,17.297,17.599,17.387,0.302,0.09,70.1986755,35.98622282,4.8368,4,0.41642275,0.08609468,6.449,6,0.0927,0.01802775,0.19447411,
1029,5,10.005,Cedar Creek LTER ,PK,11/10/09,3/18/10,8/27/16,8/27/16,2354,3.319,0.3317,,39.528,1.553,,,39.528,1.553,17.258,17.612,17.358,0.354,0.1,71.75141243,36.76560623,4.8392184,6,1.31193432,0.27110459,6.449,6,0.09274635,0.05154407,0.555753084,
1040,6,10.008,Cedar Creek LTER ,N,11/10/09,3/18/10,8/27/16,8/27/16,2354,4.425,0.4421,,16.86,0.924,12.31,0.658,16.86,0.924,17.21,17.7,17.539,0.49,0.329,32.85714286,17.24295044,4.84066944,7,0.746055,0.154122278,6.449,6,0.09277416,0.040887,0.440715389,
1043,7,10,Cedar Creek LTER ,P,11/10/09,3/18/10,8/27/16,8/27/16,2354,4.533,0.4533,,32.611,1.595,,,32.611,1.595,17.419,17.767,17.548,0.348,0.129,62.93103448,32.33829073,4.8368,8,1.47825663,0.305626991,6.449,6,0.0927,0.07230135,0.779949838,
1050,8,10.006,Cedar Creek LTER ,Fence,11/10/09,3/18/10,8/27/16,8/27/16,2354,3.668,0.3666,,35.607,2.011,,,35.607,2.011,17.11,17.551,17.292,0.441,0.182,58.73015873,30.22969601,4.83970208,10,1.30606476,0.269864702,6.449,6,0.09275562,0.07376348,0.795245399,
1057,9,10.008,Cedar Creek LTER ,Control,11/10/09,3/18/10,8/27/16,8/27/16,2354,3.342,0.3339,,41.367,1.992,,,41.367,1.992,17.522,17.845,17.567,0.323,0.045,86.06811146,43.95175448,4.84066944,11,1.38248514,0.285597923,6.449,6,0.09277416,0.06657264,0.717577394,
1071,11,10.005,Cedar Creek LTER ,Control,11/10/09,3/18/10,8/27/16,8/27/16,2354,4.769,0.4767,,34.276,2.037,,,34.276,2.037,16.306,16.609,16.378,0.303,0.072,76.23762376,39.01742278,4.8392184,13,1.63462244,0.337786457,6.449,6,0.09274635,0.09714453,1.047421597,
1078,12,10,Cedar Creek LTER ,NK,11/10/09,3/18/10,8/27/16,8/27/16,2354,4.196,0.4196,,19.577,1.23,,,19.577,1.23,17.499,17.981,17.782,0.482,0.283,41.28630705,21.47389945,4.8368,14,0.82145092,0.169833551,6.449,6,0.0927,0.0516108,0.556750809,
1092,14,10.006,Cedar Creek LTER ,NP,11/10/09,3/18/10,8/27/16,8/27/16,2354,2.61,0.2608,,41.247,2.398,,,41.247,2.398,17.648,17.945,17.692,0.297,0.044,85.18518519,43.50857697,4.83970208,16,1.0765467,0.222440696,6.449,6,0.09275562,0.0625878,0.674760192,
1101,15,10,Cedar Creek LTER ,NPK,11/10/09,3/18/10,8/27/16,8/27/16,2354,4.288,0.4288,,17.033,1.095,,,17.033,1.095,17.253,17.71,17.482,0.457,0.229,49.89059081,25.79274826,4.8368,18,0.73037504,0.151003771,6.449,6,0.0927,0.0469536,0.506511327,
1115,17,10.004,Cedar Creek LTER ,Fence,11/10/09,3/18/10,8/27/16,8/27/16,2354,4.304,0.4302,,27.977,1.788,,,27.977,1.788,17.276,17.496,17.349,0.22,0.073,66.81818182,34.28941207,4.83873472,21,1.20413008,0.248852262,6.449,6,0.09273708,0.07695552,0.829824704,
1120,18,9.994,Cedar Creek LTER ,K,11/10/09,3/18/10,8/27/16,8/27/16,2354,2.955,0.2957,,33.599,2.069,,,33.599,2.069,17.585,17.912,17.699,0.327,0.114,65.13761468,33.44586535,4.83389792,22,0.99285045,0.205393342,6.449,6,0.09264438,0.06113895,0.659931558,
1136,20,9.992,Cedar Creek LTER ,N,11/10/09,3/18/10,8/27/16,8/27/16,2354,0.018,0.0018,Several small holes in litter bag,,,,,27.301,2.12,,,,0,0,#DIV/0!,#DIV/0!,4.83293056,24,0.00491418,0.001016812,6.449,6,0.09262584,0.0003816,0.004119801,
1143,21,10.002,Cedar Creek LTER ,NK,11/10/09,3/18/10,8/27/16,8/27/16,2354,7.128,0.7127,Several small holes in litter bag,21.377,1.186,,,21.377,1.186,17.241,17.452,17.451,0.211,0.21,0.473933649,0.988467362,4.83776736,37,1.52375256,0.314970201,6.449,6,0.09271854,0.08453808,0.911771044,
1148,22,9.994,Cedar Creek LTER ,K,11/10/09,3/18/10,8/27/16,8/27/16,2354,4.721,0.4724,,31.988,1.363,,,31.988,1.363,17.704,17.962,17.751,0.258,0.047,81.78294574,41.80085111,4.83389792,38,1.51015348,0.312409055,6.449,6,0.09264438,0.06434723,0.694561613,
1161,23,10.009,Cedar Creek LTER ,Control,11/10/09,3/18/10,8/27/16,8/27/16,2354,3.817,0.3814,,28.852,1.497,,,28.852,1.497,17.387,17.657,17.448,0.27,0.061,77.40740741,39.60458597,4.84115312,39,1.10128084,0.227483166,6.449,6,0.09278343,0.05714049,0.615848002,
1176,26,9.996,Cedar Creek LTER ,PK,11/10/09,3/18/10,8/27/16,8/27/16,2354,2.999,0.3,,32.235,2.61,,,32.235,2.61,17.193,17.555,17.318,0.362,0.125,65.46961326,33.61250928,4.83486528,42,0.96672765,0.199949242,6.449,6,0.09266292,0.0782739,0.844716527,
1183,27,9.998,Cedar Creek LTER ,N,11/10/09,3/18/10,8/27/16,8/27/16,2354,4.686,0.4687,,37.742,3.316,,,37.742,3.316,17.233,17.572,17.278,0.339,0.045,86.72566372,44.28180738,4.83583264,44,1.76859012,0.365726081,6.449,6,0.09268146,0.15538776,1.676578681,
1193,28,10.007,Cedar Creek LTER ,NPK,11/10/09,3/18/10,8/27/16,8/27/16,2354,3.833,0.383,,30.927,2.12,,,30.927,2.12,17.175,17.66,17.426,0.485,0.251,48.24742268,24.96797366,4.84018576,45,1.18543191,0.244914548,6.449,6,0.09276489,0.0812596,0.875973658,
1199,29,9.998,Cedar Creek LTER ,Fence,11/10/09,3/18/10,8/27/16,8/27/16,2354,2.565,0.2566,,33.094,2.635,,,33.094,2.635,17.247,17.894,17.685,0.647,0.438,32.30293663,16.96477123,4.83583264,46,0.8488611,0.175535665,6.449,6,0.09268146,0.06758775,0.729247791,
1205,30,9.994,Cedar Creek LTER ,P,11/10/09,3/18/10,8/27/16,8/27/16,2354,1.702,0.1703,,22.854,1.4,,,22.854,1.4,17.307,17.675,17.332,0.368,0.025,93.20652174,47.53482027,4.83389792,47,0.38897508,0.080468203,6.449,6,0.09264438,0.023828,0.257198548,
5278,1,10.006,Cowichan ,NPK,11/25/09,5/5/10,5/30/11,7/22/11,390,7.4,0.7396,,46.474,1.651,,,46.474,1.651,17.261,17.744,17.312,0.483,0.051,89.44099379,45.64474477,4.83970208,1,3.439076,0.710596632,1.068,1,0.09275562,0.122174,1.317160082,
5291,2,10.004,Cowichan ,N,11/25/09,5/5/10,5/30/11,7/22/11,390,8.82,0.8816,,45.792,1.325,,,45.792,1.325,17.483,18.046,17.543,0.563,0.06,89.34280639,45.59546042,4.83873472,2,4.0388544,0.834692256,1.068,1,0.09273708,0.116865,1.260175541,
5298,3,10,Cowichan ,Control,11/25/09,5/5/10,5/30/11,7/22/11,390,8.88,0.888,,45.601,1.195,,,45.601,1.195,17.287,17.832,17.343,0.545,0.056,89.72477064,45.78718421,4.8368,3,4.0493688,0.837199967,1.068,1,0.0927,0.106116,1.144724919,
5305,4,9.996,Cowichan ,K,11/25/09,5/5/10,5/30/11,7/22/11,390,7.62,0.7623,,41.484,1.361,,,41.484,1.361,17.695,18.311,17.787,0.616,0.092,85.06493506,43.44821842,4.83486528,4,3.1610808,0.653809489,1.068,1,0.09266292,0.1037082,1.119198488,
5312,5,9.996,Cowichan ,P,11/25/09,5/5/10,5/30/11,7/22/11,390,9.35,0.9354,,42.072,1.298,,,42.072,1.298,17.395,17.97,17.49,0.575,0.095,83.47826087,42.65180047,4.83486528,5,3.933732,0.813617706,1.068,1,0.09266292,0.121363,1.309725616,
5313,6,10.005,Cowichan ,NPK+Fence,11/25/09,5/5/10,5/30/11,7/22/11,390,8.62,0.8616,,44.658,1.207,,,44.658,1.207,17.367,17.822,17.415,0.455,0.048,89.45054945,45.64954116,4.8392184,6,3.8495196,0.79548375,1.068,1,0.09274635,0.1040434,1.121805872,
5320,7,10,Cowichan ,PK,11/25/09,5/5/10,5/30/11,7/22/11,390,8.62,0.862,,48.264,1.13,,,48.264,1.13,16.827,17.364,16.869,0.537,0.042,92.17877095,47.01894929,4.8368,7,4.1603568,0.860146543,1.068,1,0.0927,0.097406,1.050765912,
5333,8,9.995,Cowichan ,Fence,11/25/09,5/5/10,5/30/11,7/22/11,390,8.58,0.8584,,48.404,1.208,,,48.404,1.208,17.28,17.778,17.315,0.498,0.035,92.97188755,47.41704759,4.8343816,8,4.1530632,0.859068138,1.068,1,0.09265365,0.1036464,1.118643464,
5340,9,10.005,Cowichan ,NP,11/25/09,5/5/10,5/30/11,7/22/11,390,8.17,0.8166,,48.311,1.558,,,48.311,1.558,17.139,17.682,17.187,0.543,0.048,91.16022099,46.5076966,4.8392184,9,3.9470087,0.815629379,1.068,1,0.09274635,0.1272886,1.372437837,
5347,10,10.001,Cowichan ,Control,11/25/09,5/5/10,5/30/11,7/22/11,390,8.62,0.8619,,47.048,1.112,,,47.048,1.112,17.365,17.851,17.416,0.486,0.051,89.50617284,45.67746086,4.83728368,10,4.0555376,0.838391516,1.068,1,0.09270927,0.0958544,1.033924655,
5354,11,10.003,Cowichan ,P,11/25/09,5/5/10,5/30/11,7/22/11,390,9.38,0.9377,,45.258,1.129,,,45.258,1.129,17.256,17.799,17.319,0.543,0.063,88.39779006,45.12111732,4.83825104,11,4.2452004,0.877424583,1.068,1,0.09272781,0.1059002,1.142054363,
5355,12,10.002,Cowichan ,NK,11/25/09,5/5/10,5/30/11,7/22/11,390,7.58,0.7578,,47.556,1.928,,,47.556,1.928,17.291,17.739,17.33,0.448,0.039,91.29464286,46.57516854,4.83776736,12,3.6047448,0.745125702,1.068,1,0.09271854,0.1461424,1.576193931,
5368,13,10,Cowichan ,NK,11/25/09,5/5/10,5/30/11,7/22/11,390,8.41,0.841,,47.097,1.357,,,47.097,1.357,18.442,19.068,18.505,0.626,0.063,89.93610224,45.89326035,4.8368,13,3.9608577,0.818900451,1.068,1,0.0927,0.1141237,1.231107875,
5369,14,9.999,Cowichan ,K,11/25/09,5/5/10,5/30/11,7/22/11,390,8.67,0.8671,,42.424,1.188,,,42.424,1.188,17.355,17.841,17.426,0.486,0.071,85.3909465,43.61185715,4.83631632,14,3.6781608,0.760529411,1.068,1,0.09269073,0.1029996,1.111217918,
5382,15,10.005,Cowichan ,PK,11/25/09,5/5/10,5/30/11,7/22/11,390,8.12,0.8116,,48.99,1.313,,,48.99,1.313,17.292,17.844,17.335,0.552,0.043,92.21014493,47.0346972,4.8392184,15,3.977988,0.822031095,1.068,1,0.09274635,0.1066156,1.149539578,
5389,16,9.996,Cowichan ,NP,11/25/09,5/5/10,5/30/11,7/22/11,390,8.08,0.8083,,37.045,1.051,,,37.045,1.051,17.163,17.728,17.23,0.565,0.067,88.14159292,44.99252129,4.83486528,16,2.993236,0.619093982,1.068,1,0.09266292,0.0849208,0.916448564,
5390,17,10.001,Cowichan ,Fence,11/25/09,5/5/10,5/30/11,7/22/11,390,8.24,0.8239,,38.87,0.888,,,38.87,0.888,17.35,17.883,17.39,0.533,0.04,92.49530957,47.17783323,4.83728368,17,3.202888,0.662125319,1.068,1,0.09270927,0.0731712,0.789254408,
5397,18,9.996,Cowichan ,NPK+Fence,11/25/09,5/5/10,5/30/11,7/22/11,390,7.7,0.7703,,46.209,1.361,,,46.209,1.361,17.733,18.295,17.787,0.562,0.054,90.39145907,46.12182293,4.83486528,18,3.558093,0.735923918,1.068,1,0.09266292,0.104797,1.130948604,
5410,19,9.992,Cowichan ,NPK,11/25/09,5/5/10,5/30/11,7/22/11,390,7.84,0.7846,,55.794,1.66,,,55.794,1.66,17.531,18.213,17.661,0.682,0.13,80.93841642,41.37694663,4.83293056,19,4.3742496,0.905092582,1.068,1,0.09262584,0.130144,1.405050686,
5341,10,10,Cowichan ,N,11/25/09,5/5/10,5/30/11,7/22/11,390,6.85,0.685,Not actually 5341,,,,,,,17.165,17.541,17.226,0.376,0.061,83.77659574,42.80154719,4.8368,20,0,0,1.068,1,0.0927,0,0,
5424,21,9.995,Cowichan ,N,11/25/09,5/5/10,5/30/11,7/22/11,390,8.28,0.8284,,39.529,1.085,,,39.529,1.085,16.971,17.558,17.03,0.587,0.059,89.94889267,45.8996804,4.8343816,21,3.2730012,0.677025827,1.068,1,0.09265365,0.089838,0.969611019,
5431,22,10.004,Cowichan ,NK,11/25/09,5/5/10,5/30/11,7/22/11,390,7.3,0.7297,,37.451,1.177,,,37.451,1.177,17.299,17.839,17.341,0.54,0.042,92.22222222,47.0407593,4.83873472,22,2.733923,0.565007829,1.068,1,0.09273708,0.085921,0.926501028,
5432,23,9.999,Cowichan ,NPK+Fence,11/25/09,5/5/10,5/30/11,7/22/11,390,6.85,0.6851,,44.883,1.652,,,44.883,1.652,17.207,17.719,17.269,0.512,0.062,87.890625,44.86655003,4.83631632,23,3.0744855,0.635708109,1.068,1,0.09269073,0.113162,1.220855635,
5439,24,10.005,Cowichan ,NP,11/25/09,5/5/10,5/30/11,7/22/11,390,7.88,0.7876,,49.394,1.261,,,49.394,1.261,17.728,18.196,17.756,0.468,0.028,94.01709402,47.9416803,4.8392184,24,3.8922472,0.804313192,1.068,1,0.09274635,0.0993668,1.071382324,
5452,25,10.002,Cowichan ,Control,11/25/09,5/5/10,5/30/11,7/22/11,390,8.59,0.8588,,35.226,1.112,,,35.226,1.112,17.143,17.723,17.257,0.58,0.114,80.34482759,41.07899964,4.83776736,25,3.0259134,0.625477245,1.068,1,0.09271854,0.0955208,1.030223297,
5455,26,10,Cowichan ,NPK,11/25/09,5/5/10,5/30/11,7/22/11,390,7.97,0.797,,41.982,1.591,,,41.982,1.591,17.395,18.04,17.495,0.645,0.1,84.49612403,43.16270844,4.8368,26,3.3459654,0.691772536,1.068,1,0.0927,0.1268027,1.367882416,
5460,27,10.007,Cowichan ,PK,11/25/09,5/5/10,5/30/11,7/22/11,390,8.3,0.8294,"Data was moved from 5459, we think it belongs here at 5460.",46.916,1.217,,,46.916,1.217,17.218,17.762,17.256,0.544,0.038,93.01470588,47.4385399,4.84018576,27,3.894028,0.804520362,1.068,1,0.09276489,0.101011,1.088892576,
5473,28,9.999,Cowichan ,Fence,11/25/09,5/5/10,5/30/11,7/22/11,390,9.63,0.9631,,41.18,1.113,,,41.18,1.113,17.103,17.706,17.213,0.603,0.11,81.75787728,41.78826821,4.83631632,28,3.965634,0.819969939,1.068,1,0.09269073,0.1071819,1.156338935,
5480,29,9.992,Cowichan ,K,11/25/09,5/5/10,5/30/11,7/22/11,390,9.42,0.9428,,45.46,0.947,,,45.46,0.947,17.197,17.76,17.268,0.563,0.071,87.38898757,44.61475728,4.83293056,29,4.282332,0.886073563,1.068,1,0.09262584,0.0892074,0.9630941,
5486,30,10.002,Cowichan ,P,11/25/09,5/5/10,5/30/11,7/22/11,390,8.96,0.8958,,40.41,1.133,,,40.41,1.133,17.089,17.658,17.181,0.569,0.092,83.83128295,42.82899698,4.83776736,30,3.620736,0.748431194,1.068,1,0.09271854,0.1015168,1.094892133,
5279,1,10.009,Cowichan ,NPK,11/25/09,5/5/10,5/28/12,10/1/12,754,5.95,0.5945,"centipede, some small worms",42.556,1.693,,,42.556,1.693,17.346,17.752,17.398,0.406,0.052,87.19211823,44.51594035,4.84115312,1,2.532082,0.523032827,2.066,2,0.09278343,0.1007335,1.085684157,
5290,2,10.006,Cowichan ,N,11/25/09,5/5/10,5/28/12,10/1/12,754,5.06,0.5057,"mite, centipedes, small worms, beetle larva, slugs",44.129,1.976,,,44.129,1.976,17.841,18.319,17.892,0.478,0.051,89.33054393,45.58930538,4.83970208,2,2.2329274,0.461377036,2.066,2,0.09275562,0.0999856,1.077946544,
5297,3,10.005,Cowichan ,Control,11/25/09,5/5/10,5/28/12,10/1/12,754,6.91,0.6907,centipede,42.912,1.409,,,42.912,1.409,17.705,18.091,17.761,0.386,0.056,85.49222798,43.66269455,4.8392184,3,2.9652192,0.612747546,2.066,2,0.09274635,0.0973619,1.049765301,
5304,4,9.994,Cowichan ,K,11/25/09,5/5/10,5/28/12,10/1/12,754,6.22,0.6224,"spider, mite",41.793,1.476,,,41.793,1.476,17.157,17.652,17.226,0.495,0.069,86.06060606,43.94798721,4.83389792,4,2.5995246,0.537769858,2.066,2,0.09264438,0.0918072,0.99096351,
5311,5,9.999,Cowichan ,P,11/25/09,5/5/10,5/28/12,10/1/12,754,6.48,0.6481,centipede,45.494,1.343,,,45.494,1.343,17.797,18.259,17.844,0.462,0.047,89.82683983,45.83841699,4.83631632,5,2.9480112,0.609557152,2.066,2,0.09269073,0.0870264,0.938890006,
5314,6,10,Cowichan ,NPK+Fence,11/25/09,5/5/10,5/28/12,10/1/12,754,6.44,0.644,mite,43.533,1.879,,,43.533,1.879,17.407,17.901,17.478,0.494,0.071,85.62753036,43.73060846,4.8368,6,2.8035252,0.579623966,2.066,2,0.0927,0.1210076,1.305367853,
5321,7,10.001,Cowichan ,PK,11/25/09,5/5/10,5/28/12,10/1/12,754,4.42,0.442,,44.792,1.618,,,44.792,1.618,17.196,17.617,17.243,0.421,0.047,88.83610451,45.34112562,4.83728368,7,1.9798064,0.409280607,2.066,2,0.09270927,0.0715156,0.771396431,
